name,type,value,date
A Heroine of '76,Lois Weber,1,1911
The Martyr,Lois Weber,1,1911
On the Brink,Lois Weber,1,1911
The Realization,Lois Weber,1,1911
A Breach of Faith,Lois Weber,2,1911
The Heiress,Lois Weber,1,1911
From Death to Life,Lois Weber,1,1911
The Price,Lois Weber,1,1911
The Twins,Lois Weber,1,1911
Fate,Lois Weber,1,1911
Leaves in the Storm,Lois Weber,2,1912
Faraway Fields,Lois Weber,2,1912
The Greater Love,Lois Weber,2,1912
Fine Feathers,Lois Weber,1,1912
Angels Unaware,Lois Weber,1,1912
The Price of Peace,Lois Weber,1,1912
The Power of Thought,Lois Weber,2,1912
The Bargain,Lois Weber,1,1912
An Old Fashioned Girl,Lois Weber,1,1912
A Japanese Idyll,Lois Weber,1,1912
The Troubadour's Triumph,Lois Weber,1,1912
The Greater Christian,Lois Weber,1,1912
Eyes That See Not,Lois Weber,1,1912
The Final Pardon,Lois Weber,1,1912
The Wife's Deceit,Lois Weber,1,1913
Until Death,Lois Weber,2,1913
The Thumb Print,Lois Weber,1,1913
His Brand,Lois Weber,2,1913
The Dragon's Breath,Lois Weber,1,1913
The Cap of Destiny,Lois Weber,1,1913
The Fallen Angel,Lois Weber,1,1913
His Sister,Lois Weber,1,1913
In the Blood,Lois Weber,1,1913
Memories,Lois Weber,5,1913
The Haunted Bride,Lois Weber,2,1913
Two Thieves,Lois Weber,1,1913
The Pretender,Lois Weber,3,1913
How Men Propose,Lois Weber,2,1913
Shadows of Life,Lois Weber,2,1913
The Clue,Lois Weber,1,1913
The Rosary,Lois Weber,1,1913
Through Strife,Lois Weber,1,1913
The Peacemaker,Lois Weber,1,1913
The Mask,Lois Weber,3,1913
The Trifler,Lois Weber,1,1913
A Book of Verses,Lois Weber,1,1913
The King Can Do No Wrong,Lois Weber,1,1913
The Blood Brotherhood,Lois Weber,2,1913
Civilized and Savage,Lois Weber,1,1913
An Empty Box,Lois Weber,1,1913
The Jew's Christmas,Lois Weber,3,1913
Suspense,Lois Weber,2,1913
Two Thieves and a Cross,Lois Weber,2,1913
Never Again,Lois Weber,1,1913
The Poverty of Riches,Lois Weber,1,1913
Troubled Waters,Lois Weber,1,1913
James Lee's Wife,Lois Weber,2,1913
The Light Woman,Lois Weber,2,1913
Bobby's Baby,Lois Weber,1,1913
Just in Time,Lois Weber,2,1913
An Old Locket,Lois Weber,1,1914
A Fool and His Money,Lois Weber,2,1914
The Spider and Her Web,Lois Weber,2,1914
Plain Mary,Lois Weber,1,1914
A Modern Fairy Tale,Lois Weber,1,1914
The Pursuit of Hate,Lois Weber,2,1914
The Merchant of Venice,Lois Weber,3,1914
Woman's Burden,Lois Weber,3,1914
Daisies,Lois Weber,1,1914
An Episode,Lois Weber,2,1914
The Coward Hater,Lois Weber,2,1914
The Female of the Species,Lois Weber,2,1914
The Triumph of Mind,Lois Weber,4,1914
The Baby's Doll,Lois Weber,3,1914
The Man Who Slept,Lois Weber,2,1914
Closed Gates,Lois Weber,1,1914
The Leper's Coat,Lois Weber,2,1914
The Stone in the Road,Lois Weber,2,1914
The Traitor,Lois Weber,0,1914
Lost by a Hair,Lois Weber,4,1914
Avenged,Lois Weber,2,1914
Behind the Veil,Lois Weber,2,1914
On Suspicion,Lois Weber,1,1914
Helping Mother,Lois Weber,3,1914
The Career of Waterloo Peterson,Lois Weber,2,1914
Mabel's Strange Predicament,Mabel Normand,3,1914
Mabel's Bear Escape,Mabel Normand,1,1914
Mabel's Nerve,Mabel Normand,1,1914
Caught in a Cabaret,Mabel Normand,7,1914
Mabel's Stormy Love Affair,Mabel Normand,1,1914
Won in a Closet,Mabel Normand,2,1914
Mabel at the Wheel,Mabel Normand,4,1914
Love and Gasoline,Mabel Normand,2,1914
Captain Courtesy,Lois Weber,2,1915
Sunshine Molly,Lois Weber,5,1915
A Cigarette - That's All,Lois Weber,2,1915
Scandal,Lois Weber,5,1915
Betty in Search of a Thrill,Lois Weber,4,1915
It's No Laughing Matter,Lois Weber,3,1915
Jewel,Lois Weber,5,1915
Hypocrites,Lois Weber,6,1915
Mabel and Fatty Viewing the World's Fair at San Francisco,Mabel Normand,2,1915
The Rock of Riches,Lois Weber,1,1916
Under the Spell,Lois Weber,2,1916
John Needham's Double,Lois Weber,2,1916
Discontent,Lois Weber,2,1916
The Dumb Girl of Portici,Lois Weber,6,1916
The Gilded Life,Lois Weber,1,1916
Saving the Family Name,Lois Weber,3,1916
Shoes,Lois Weber,5,1916
Where Are My Children?,Lois Weber,8,1916
Wanted: A Home,Lois Weber,4,1916
The Flirt,Lois Weber,3,1916
Hop - The Devil's Brew,Lois Weber,3,1916
There Is No Place Like Home,Lois Weber,1,1916
The Dance of Love,Lois Weber,1,1916
Idle Wives,Lois Weber,9,1916
The Eye of God,Lois Weber,2,1916
The Price of a Good Time,Lois Weber,5,1917
Even As You and I,Lois Weber,3,1917
The Hand That Rocks the Cradle,Lois Weber,4,1917
The Boyhood He Forgot,Lois Weber,1,1917
The Mysterious Mrs. Musslewhite,Lois Weber,2,1917
For Husbands Only,Lois Weber,3,1918
The Doctor and the Woman,Lois Weber,3,1918
Borrowed Clothes,Lois Weber,4,1918
A Midnight Romance,Lois Weber,4,1919
When a Girl Loves,Lois Weber,1,1919
Home,Lois Weber,4,1919
Forbidden,Lois Weber,2,1919
Mary Regan,Lois Weber,2,1919
Mum's the Word,Lois Weber,1,1920
Too Wise Wives,Lois Weber,2,1921
The Blot,Lois Weber,4,1921
A Chapter in Her Life,Lois Weber,5,1923
The Marriage Clause,Lois Weber,3,1926
Sensation Seekers,Lois Weber,10,1927
Topsy and Eva,Lois Weber,7,1927
The Angel of Broadway,Lois Weber,8,1927
Get Your Man,Dorothy Arzner,4,1927
The Wild Party,Dorothy Arzner,12,1929
Behind the Make-Up,Dorothy Arzner,2,1930
Anybody's Woman,Dorothy Arzner,6,1930
Paramount on Parade,Dorothy Arzner,32,1930
Sarah and Son,Dorothy Arzner,4,1930
Working Girls,Dorothy Arzner,23,1931
Honor Among Lovers,Dorothy Arzner,8,1931
Merrily We Go to Hell,Dorothy Arzner,8,1932
Christopher Strong,Dorothy Arzner,8,1933
White Heat,Lois Weber,4,1934
Nana,Dorothy Arzner,11,1934
Der Graf von Carabas,Lotte Reiniger,0,1935
Craig's Wife,Dorothy Arzner,12,1936
Silhouetten,Lotte Reiniger,9,1936
The Last of Mrs. Cheyney,Dorothy Arzner,7,1937
The Bride Wore Red,Dorothy Arzner,10,1937
The King's Breakfast,Lotte Reiniger,1,1937
"Dance, Girl, Dance",Dorothy Arzner,15,1940
First Comes Courage,Dorothy Arzner,5,1943
Meshes of the Afternoon,Maya Deren,1,1943
Witch's Cradle,Maya Deren,1,1944
Here and There,Lotte Reiniger,1,1949
Medusa,Maya Deren,1,1949
Not Wanted,Ida Lupino,11,1949
Not Without Licence,Lotte Reiniger,1,1950
The Dancing Fleece,Lotte Reiniger,6,1950
Never Fear,Ida Lupino,3,1950
Outrage,Ida Lupino,8,1950
Ensemble for Somnambulists,Maya Deren,2,1951
On Dangerous Ground,Ida Lupino,14,1951
"Hard, Fast and Beautiful!",Ida Lupino,6,1951
Dance in the Sun,Shirley Clarke,1,1953
The Hitch-Hiker,Ida Lupino,3,1953
General Electric Theater (1961-1962),Ida Lupino,19,1953
The Bigamist,Ida Lupino,6,1953
Climax!,Ida Lupino,17,1954
La Pointe Courte,Agnes Varda,3,1955
Bullfight,Shirley Clarke,1,1955
Alfred Hitchcock Presents (1960-1961),Ida Lupino,11,1955
Screen Directors Playhouse,Ida Lupino,12,1955
The Joseph Cotten Show: On Trial,Ida Lupino,10,1955
The Star of Bethlehem,Lotte Reiniger,1,1956
Jack and the Beanstalk,Lotte Reiniger,0,1956
Mr. Adams and Eve,Ida Lupino,16,1957
Diary of a Pregnant Woman,Agnes Varda,3,1958
Along the Coast,Agnes Varda,1,1958
"O saisons, ô châteaux",Agnes Varda,1,1958
The Very Eye of Night,Maya Deren,3,1958
Teenage Idol,Ida Lupino,3,1958
The Donna Reed Show,Ida Lupino,20,1958
77 Sunset Strip,Ida Lupino,19,1958
The Rifleman,Ida Lupino,6,1958
The Untouchables (1962-1963),Ida Lupino,1,1959
Hotel de Paree (1959-1960),Ida Lupino,6,1959
The Twilight Zone,Ida Lupino,6,1959
Kocicina - Pan Ká,Vera Chytilova,2,1960
Dante,Ida Lupino,25,1960
Hong Kong,Ida Lupino,18,1960
Thriller (1961-1962),Ida Lupino,17,1960
Tate,Ida Lupino,10,1960
The Fiancés of the Bridge Mac Donald,Agnes Varda,3,1961
Zurnal FAMU - První obcasník,Vera Chytilova,3,1961
The Connection,Shirley Clarke,2,1961
Dr. Kildare,Ida Lupino,21,1961
Cleo from 5 to 7,Agnes Varda,10,1962
Strop,Vera Chytilova,4,1962
The Virginian,Ida Lupino,5,1962
Sam Benedict (1962-1963),Ida Lupino,12,1962
The Basilisks,Lina Wertmu╠êller,5,1963
Something Different,Vera Chytilova,6,1963
The House Is Black,Forugh Farrokhzad,1,1963
Robert Frost: A Lover's Quarrel with the World,Shirley Clarke,0,1963
The Cool World,Shirley Clarke,10,1963
Kraft Suspense Theatre,Ida Lupino,9,1963
The Fugitive (1963-1964),Ida Lupino,9,1963
Breaking Point,Ida Lupino,28,1963
Mr. Novak (1963-1965),Ida Lupino,17,1963
Bob Hope Presents the Chrysler Theatre,Ida Lupino,7,1963
Il giornalino di Gian Burrasca (1964-1965),Lina Wertmu╠êller,18,1964
Salut les Cubains,Agnes Varda,1,1964
New Reports from France,Agnes Varda,6,1964
Bewitched,Ida Lupino,17,1964
Gilligan's Island (1964-1966),Ida Lupino,8,1964
The Rogues (1964-1965),Ida Lupino,15,1964
Daniel Boone,Ida Lupino,2,1964
Karen,Ida Lupino,12,1964
Let's Talk About Men,Lina Wertmu╠êller,4,1965
Le Bonheur,Agnes Varda,7,1965
Pearls of the Deep,Vera Chytilova,6,1965
Rita the Mosquito,Lina Wertmu╠êller,11,1966
The Creatures,Agnes Varda,9,1966
Elsa la rose,Agnes Varda,0,1966
Daisies,Vera Chytilova,8,1966
The Trouble with Angels,Ida Lupino,32,1966
Don't Sting the Mosquito,Lina Wertmu╠êller,8,1967
Uncle Yanco,Agnes Varda,2,1967
Far from Vietnam,Agnes Varda,3,1967
Portrait of Jason,Shirley Clarke,1,1967
Dundee and the Culhane,Ida Lupino,5,1967
The Belle Star Story,Lina Wertmu╠êller,2,1968
Black Panthers,Agnes Varda,1,1968
The Ghost & Mrs. Muir,Ida Lupino,14,1968
Lions Love,Agnes Varda,4,1969
Uncle Tom's Fairy Tales,Penelope Spheeris,0,1969
Wanda,Barbara Loden,8,1970
Fruit of Paradise,Vera Chytilova,3,1970
Nausicaa,Agnes Varda,4,1971
Roof Needs Mowing,Gillian Armstrong,2,1971
A New Leaf,Elaine May,9,1971
The Seduction of Mimi,Lina Wertmu╠êller,6,1972
The Heartbreak Kid,Elaine May,8,1972
I Don't Know,Penelope Spheeris,1,1972
The Immigrant Experience: The Long Long Journey,Joan Micklin Silver,5,1972
David: Off and On, Martha Coolidge,2,1972
ABC Afterschool Specials,Claudia Weill,28,1972
Love & Anarchy,Lina Wertmu╠êller,19,1973
One Hundred a Day,Gillian Armstrong,7,1973
The Fur Coat Club,Joan Micklin Silver,2,1973
All Screwed Up,Lina Wertmu╠êller,17,1974
Swept Away,Lina Wertmu╠êller,4,1974
The Case of the Elevator Duck,Joan Micklin Silver,2,1974
Four Women,Julie Dash,1,1975
Seven Beauties,Lina Wertmu╠êller,8,1975
Women Reply,Agnes Varda,3,1975
The Boy Who Liked Deer,Barbara Loden,0,1975
The Frontier Experience,Barbara Loden,1,1975
Hester Street,Joan Micklin Silver,9,1975
The Other Half of the Sky: A China Memoir,Claudia Weill,1,1975
Daguerréotypes,Agnes Varda,1,1976
The Pleasure of Love in Iran,Agnes Varda,2,1976
Laverne & Shirley (1979-1981),Penny Marshall,18,1976
Smokes & Lollies,Gillian Armstrong,0,1976
And You Act Like One Too,Susan Seidelman,2,1976
Mikey and Nicky,Elaine May,8,1976
A Real Young Girl,Catherine Breillat,5,1976
Bernice Bobs Her Hair,Joan Micklin Silver,6,1976
Not a Pretty Picture, Martha Coolidge,5,1976
Diary of an African Nun,Julie Dash,4,1977
News from Home,Chantal Akerman,1,1977
"One Sings, the Other Doesn't",Agnes Varda,21,1977
The Apple Game,Vera Chytilova,18,1977
The Singer and the Dancer,Gillian Armstrong,7,1977
Between the Lines,Joan Micklin Silver,12,1977
Winners, Martha Coolidge,8,1977
Mother of Many Children,Alanis Obomsawin,1,1977
The Meetings of Anna,Chantal Akerman,4,1978
Getting It Over with,Amy Heckerling,1,1978
Blood Feud,Lina Wertmu╠êller,4,1978
A Night Full of Rain,Lina Wertmu╠êller,12,1978
Mysterium,Shirley Clarke,1,1978
Bimbo, Martha Coolidge,0,1978
Girlfriends,Claudia Weill,13,1978
Working Stiffs,Penny Marshall,4,1979
My Brilliant Career,Gillian Armstrong,19,1979
"Yours Truly, Andrea G. Stern",Susan Seidelman,5,1979
Nocturnal Uproar,Catherine Breillat,8,1979
Thriller,Sally Potter,2,1979
Chilly Scenes of Winter,Joan Micklin Silver,12,1979
Tell Me,Chantal Akerman,1,1980
Panelstory aneb Jak se rodí sídliste,Vera Chytilova,24,1980
The Cruz Brothers and Miss Malloy,Kathleen Collins (II),6,1980
It's My Turn,Claudia Weill,9,1980
The Loveless,Kathryn Bigelow,7,1981
Documenteur,Agnes Varda,6,1981
Mur murs,Agnes Varda,3,1981
American Playhouse,Barbara Kopple,19,1981
"Fourteen's Good, Eighteen's Better",Gillian Armstrong,0,1981
The Decline of Western Civilization,Penelope Spheeris,8,1981
Illusions,Julie Dash,7,1982
Toute une nuit,Chantal Akerman,26,1982
Télévision de chambre,Chantal Akerman,18,1982
Fast Times at Ridgemont High,Amy Heckerling,24,1982
Calamity,Vera Chytilova,11,1982
Chytilova Versus Forman,Vera Chytilova,0,1982
Starstruck,Gillian Armstrong,16,1982
The Devil's Workshop,Euzhan Palcy,1,1982
Smithereens,Susan Seidelman,14,1982
Losing Ground,Kathleen Collins (II),8,1982
A Question of Silence,Marleen Gorris,10,1982
Les années 80,Chantal Akerman,22,1983
On Tour with Pina Bausch,Chantal Akerman,2,1983
"A Joke of Destiny, Lying in Wait Around the Corner Like a Bandit",Lina Wertmu╠êller,5,1983
Yentl,Barbra Streisand,11,1983
Une minute pour une image,Agnes Varda,1,1983
Ulysse,Agnes Varda,1,1983
Faunovo velmi pozdní odpoledne,Vera Chytilova,28,1983
Capitali culturali d'Europa,Vera Chytilova,7,1983
Passionless Moments,Jane Campion,4,1983
Sugar Cane Alley,Euzhan Palcy,16,1983
Suburbia,Penelope Spheeris,23,1983
The Gold Diggers,Sally Potter,10,1983
How to Be a Perfect Person in Just Three Days,Joan Micklin Silver,9,1983
Valley Girl, Martha Coolidge,16,1983
De geest van gras,Marleen Gorris,4,1983
Paris vu par... 20 ans après,Chantal Akerman,21,1984
"J'ai faim, j'ai froid",Chantal Akerman,2,1984
Family Business: Chantal Akerman Speaks About Film,Chantal Akerman,3,1984
Lettre d'un cinéaste: Chantal Akerman,Chantal Akerman,2,1984
Johnny Dangerously,Amy Heckerling,15,1984
Sotto... sotto,Lina Wertmu╠êller,13,1984
"7rm., kitch., bath., ... for sale",Agnes Varda,6,1984
The So-called Caryatids,Agnes Varda,1,1984
Prague: The Restless Heart of Europe,Vera Chytilova,0,1984
Mishaps of Seduction and Conquest,Jane Campion,1,1984
After Hours,Jane Campion,16,1984
CBS Schoolbreak Special,Gina Prince-Bythewood,20,1984
Mrs. Soffel,Gillian Armstrong,20,1984
Joy of Sex, Martha Coolidge,18,1984
The City Girl, Martha Coolidge,11,1984
Gebroken spiegels,Marleen Gorris,15,1984
Incident at Restigouche,Alanis Obomsawin,1,1984
National Lampoon's European Vacation,Amy Heckerling,20,1985
Camorra,Lina Wertmu╠êller,16,1985
Vagabond,Agnes Varda,15,1985
The Story of an Old Lady,Agnes Varda,2,1985
American Masters,Barbara Kopple,7,1985
Divine Horsemen: The Living Gods of Haiti,Maya Deren,1,1985
Desert Hearts,Donna Deitch,12,1985
The Ties That Bind,Su Friendrich,0,1985
Desperately Seeking Susan,Susan Seidelman,22,1985
Madonna: Into the Groove,Susan Seidelman,2,1985
American Masters,Elaine May,7,1985
The Boys Next Door,Penelope Spheeris,18,1985
Naked Spaces: Living Is Round,Trinh T. Minh-ha,0,1985
Finnegan Begin Again,Joan Micklin Silver,10,1985
Ornette: Made in America,Shirley Clarke,0,1985
The Twilight Zone (1985-1987), Martha Coolidge,15,1985
Real Genius, Martha Coolidge,22,1985
The Twilight Zone,Claudia Weill,15,1985
Golden Eighties,Chantal Akerman,20,1986
Letters Home,Chantal Akerman,2,1986
"Seven Women, Seven Sins",Chantal Akerman,7,1986
Fast Times,Amy Heckerling,5,1986
"Summer Night with Greek Profile, Almond Eyes and Scent of Basil",Lina Wertmu╠êller,3,1986
Putting It Together: The Making of the Broadway Album,Barbra Streisand,1,1986
"You've Got Beautiful Stairs, You Know",Agnes Varda,2,1986
Dancing Daze,Jane Campion,6,1986
An Exercise in Discipline: Peel,Jane Campion,1,1986
A Girl's Own Story,Jane Campion,36,1986
2 Friends,Jane Campion,15,1986
Hard to Handle: Bob Dylan in Concert,Gillian Armstrong,0,1986
Hollywood Vice Squad,Penelope Spheeris,18,1986
The London Story,Sally Potter,1,1986
Sledge Hammer!, Martha Coolidge,18,1986
Richard Cardinal: Cry from a Diary of a Métis Child,Alanis Obomsawin,2,1986
Caprice,Joanna Hogg,1,1986
Casualty (1997-1998),Joanna Hogg,25,1986
Johnny Bull,Claudia Weill,5,1986
Fast Times,Claudia Weill,5,1986
New Order: Touched by the Hand of God,Kathryn Bigelow,2,1987
Near Dark,Kathryn Bigelow,5,1987
The Tracey Ullman Show,Penny Marshall,25,1987
Vlci bouda,Vera Chytilova,8,1987
High Tide,Gillian Armstrong,12,1987
Damned If You Don't,Su Friendrich,2,1987
Making Mr. Right,Susan Seidelman,18,1987
Ishtar,Elaine May,10,1987
Dudes,Penelope Spheeris,8,1987
Megadeth: Wake Up Dead,Penelope Spheeris,0,1987
"Tears, Laughter, Fears and Rage",Sally Potter,2,1987
CBS Summer Playhouse, Martha Coolidge,14,1987
Plain Clothes, Martha Coolidge,17,1987
Border Radio,Allison Anders,5,1987
Poundmaker's Lodge: A Healing Place,Alanis Obomsawin,2,1987
Network 7,Joanna Hogg,4,1987
Thirtysomething (1987-1989),Claudia Weill,28,1987
Once a Hero,Claudia Weill,10,1987
"Cinéma, de notre temps",Chantal Akerman,10,1988
Jane B. for Agnes V.,Agnes Varda,6,1988
P.O.V.,Agnes Varda,6,1988
Kung-Fu Master!,Agnes Varda,9,1988
Big,Penny Marshall,17,1988
Sasek a královna,Vera Chytilova,7,1988
"Bingo, Bridesmaids & Braces",Gillian Armstrong,1,1988
